"id","camp_name","year","location","loc_cow","prim_meth","camp_orgs","camp_orgs_list","div_ethnicity","div_religion","EPR_GROUP","EPR_ID","PARTICIPATION","PRIMARY","CLAIM","SOURCES","NOTES","status","egip_participated","egip_claimed","egip_participated_claimed","statename","egip_groups_count","excl_groups_count","regaut_groups_count","discrim_groups_count","powerless_groups_count","egippop","exclpop","alonerule_groups_count","powershare_groups_count","alonerulepop","powersharepop","IFI","EFI","legippop","lexclpop","discrimpop","ldiscrimpop","powerlesspop","lpowerlesspop"
21,"Anti-Khan",1968,"Pakistan",770,1,11,"All-Pakistan Student Action Committee, East Pakistan Awami League, Jamaat-i-Islami, National Awami Party (NAP), National Democratic Front (NDF), People's Party, Council Muslim League, Nizam-i-Islam, Awami League.",1,0,"Baluchis",77001000,1,0,1,"WCRWWA","https://www.dawn.com/news/1128832","POWERLESS",1,1,1,"Pakistan",4,4,0,2,2,0.372,0.61,0,4,0,0.372,0.092504,0.3043,0.378818737270876,0.621181262729124,0.56,0.570264765784114,0.05,0.0509164969450102
21,"Anti-Khan",1968,"Pakistan",770,1,11,"All-Pakistan Student Action Committee, East Pakistan Awami League, Jamaat-i-Islami, National Awami Party (NAP), National Democratic Front (NDF), People's Party, Council Muslim League, Nizam-i-Islam, Awami League.",1,0,"Bengali",77002000,1,0,1,"WCRWWA","https://www.dawn.com/news/1128832","DISCRIMINATED",1,1,1,"Pakistan",4,4,0,2,2,0.372,0.61,0,4,0,0.372,0.092504,0.3043,0.378818737270876,0.621181262729124,0.56,0.570264765784114,0.05,0.0509164969450102
21,"Anti-Khan",1968,"Pakistan",770,1,11,"All-Pakistan Student Action Committee, East Pakistan Awami League, Jamaat-i-Islami, National Awami Party (NAP), National Democratic Front (NDF), People's Party, Council Muslim League, Nizam-i-Islam, Awami League.",1,0,"Mohajirs",77003000,1,0,1,"WCRWWA","https://www.dawn.com/news/1128832","SENIOR PARTNER",1,1,1,"Pakistan",4,4,0,2,2,0.372,0.61,0,4,0,0.372,0.092504,0.3043,0.378818737270876,0.621181262729124,0.56,0.570264765784114,0.05,0.0509164969450102
21,"Anti-Khan",1968,"Pakistan",770,1,11,"All-Pakistan Student Action Committee, East Pakistan Awami League, Jamaat-i-Islami, National Awami Party (NAP), National Democratic Front (NDF), People's Party, Council Muslim League, Nizam-i-Islam, Awami League.",1,0,"Pashtuns",77004000,1,0,1,"WCRWWA","https://www.dawn.com/news/1128832","JUNIOR PARTNER",1,1,1,"Pakistan",4,4,0,2,2,0.372,0.61,0,4,0,0.372,0.092504,0.3043,0.378818737270876,0.621181262729124,0.56,0.570264765784114,0.05,0.0509164969450102
21,"Anti-Khan",1968,"Pakistan",770,1,11,"All-Pakistan Student Action Committee, East Pakistan Awami League, Jamaat-i-Islami, National Awami Party (NAP), National Democratic Front (NDF), People's Party, Council Muslim League, Nizam-i-Islam, Awami League.",1,0,"Punjabi",77005000,1,0,0,"WCRWWA","https://www.dawn.com/news/1128832","SENIOR PARTNER",1,1,1,"Pakistan",4,4,0,2,2,0.372,0.61,0,4,0,0.372,0.092504,0.3043,0.378818737270876,0.621181262729124,0.56,0.570264765784114,0.05,0.0509164969450102
22,"Anti-Khmer Rouge",1978,"Cambodia",811,0,2,"Kampuchean (or Khmer) National United Front for National Salvation (KNUFNS), Kampuchean (or Khmer) People's Revolutionary Armed Forces (KPRF)",0,1,"Khmer",81103000,1,1,0,"ACD2EPR","ACD2EPR codes only Khmer","MONOPOLY",1,0,0,"Cambodia (Kampuchea)",1,5,0,4,1,0.925,0.075,1,0,0.925,0,0.855625,0.001325,0.925,0.075,0.065,0.065,0.01,0.01
23,"Anti-Milosevic",1996,"Serbia",345,1,11,"Zajedno Coalition ( SPO, Democratic Party, GSS), Student Union, Student Federation, League of Students, Kosovo People's Movement(LPK), Democratic League of Kosovo (LDK), Seselj's Radicals, National Movement for the Liberation of Kosovo, FARK",1,1,"Serbs",34501000,1,1,0,"NAVCO2.1","NAVCO codes as diverse, names of orgs suggest Albanian (Kosovar) participation; Albanians coded as making ethnic claim","SENIOR PARTNER",1,0,0,"Yugoslavia",2,4,0,3,1,0.67,0.24,0,2,0,0.67,0.3869,0.0308,0.736263736263736,0.263736263736264,0.21,0.230769230769231,0.03,0.032967032967033
23,"Anti-Milosevic",1996,"Serbia",345,1,11,"Zajedno Coalition ( SPO, Democratic Party, GSS), Student Union, Student Federation, League of Students, Kosovo People's Movement(LPK), Democratic League of Kosovo (LDK), Seselj's Radicals, National Movement for the Liberation of Kosovo, FARK",1,1,"Albanians",34506000,1,0,1,"NAVCO2.1","NAVCO codes as diverse, names of orgs suggest Albanian (Kosovar) participation; Albanians coded as making ethnic claim","DISCRIMINATED",1,0,0,"Yugoslavia",2,4,0,3,1,0.67,0.24,0,2,0,0.67,0.3869,0.0308,0.736263736263736,0.263736263736264,0.21,0.230769230769231,0.03,0.032967032967033
24,"Anti-Noriega",1987,"Panama",95,1,1,"Cruzada Civilista (Nacional)",1,0,"Whites/mestizos",9501000,1,1,0,"NAVCO2.1","","MONOPOLY",1,0,0,"Panama",1,4,0,0,4,0.8,0.198,1,0,0.8,0,0.64,0.021434,0.801603206412826,0.198396793587174,0,0,0.198,0.198396793587174
24,"Anti-Noriega",1987,"Panama",95,1,1,"Cruzada Civilista (Nacional)",1,0,"Afropanamanians",9502000,1,0,0,"NAVCO2.1","","POWERLESS",1,0,0,"Panama",1,4,0,0,4,0.8,0.198,1,0,0.8,0,0.64,0.021434,0.801603206412826,0.198396793587174,0,0,0.198,0.198396793587174
25,"Anti-PRI",1986,"Mexico",70,1,6,"National Action Party (PAN),  Unified Socialist Party of Mexico (PSUM),  Social Democratic Party (PSD), Revolutionary Workers Party (PRT), Mexican Workerâ€™s Party (PMT), Committee of the Struggle for Democracy (COLUDE)",0,0,"Mestizos",7001000,1,1,0,"WCRWWA, SGNAD","Evidence of Mestizo and general indigenous participation, no evidence of Maya or AfroMexican","DOMINANT",1,0,0,"Mexico",1,2,0,0,2,0.801,0.149,1,0,0.801,0,0.641601,0.020213,0.801,0.149,0,0,0.149,0.149
25,"Anti-PRI",1986,"Mexico",70,1,6,"National Action Party (PAN),  Unified Socialist Party of Mexico (PSUM),  Social Democratic Party (PSD), Revolutionary Workers Party (PRT), Mexican Workerâ€™s Party (PMT), Committee of the Struggle for Democracy (COLUDE)",0,0,"Other Indigenous",7003000,1,0,0,"WCRWWA, SGNAD","Evidence of Mestizo and general indigenous participation, no evidence of Maya or AfroMexican","POWERLESS",1,0,0,"Mexico",1,2,0,0,2,0.801,0.149,1,0,0.801,0,0.641601,0.020213,0.801,0.149,0,0,0.149,0.149
26,"Anti-Pinochet Movement",1983,"Chile",155,1,4,"Democratic Alliance (AD),Popular Democratic Front (MDP), Manuel Rodriguez Patriotic Front (FPMR),Revolutionary Left Movement (MIR)",1,1,"Whites/mestizos",15501000,1,1,0,"NAVCO2.1","","MONOPOLY",1,0,0,"Chile",1,1,0,1,0,0.91,0.075,1,0,0.91,0,0.8281,0.005625,0.923576575662235,0.0761189485435908,0.075,0.0761189485435908,0,0
26,"Anti-Pinochet Movement",1983,"Chile",155,1,4,"Democratic Alliance (AD),Popular Democratic Front (MDP), Manuel Rodriguez Patriotic Front (FPMR),Revolutionary Left Movement (MIR)",1,1,"Mapuche",15502000,1,0,0,"NAVCO2.1","NAVCO codes as diverse, multiple references in literature to broad participation, all groups included","DISCRIMINATED",1,0,0,"Chile",1,1,0,1,0,0.91,0.075,1,0,0.91,0,0.8281,0.005625,0.923576575662235,0.0761189485435908,0.075,0.0761189485435908,0,0
26,"Anti-Pinochet Movement",1983,"Chile",155,1,4,"Democratic Alliance (AD),Popular Democratic Front (MDP), Manuel Rodriguez Patriotic Front (FPMR),Revolutionary Left Movement (MIR)",1,1,"Other Indigenous",15503000,1,0,0,"NAVCO2.1","",NA,1,0,0,"Chile",1,1,0,1,0,0.91,0.075,1,0,0.91,0,0.8281,0.005625,0.923576575662235,0.0761189485435908,0.075,0.0761189485435908,0,0
