;NVC1.3_LOCATION;NVC1.3_BYEAR;NVC1.3_EYEAR;NVC1.3_CAMPAIGN;NVC1.3_SUCCESS;NVC1.3_LIMITED;NVC1.3_FAILURE;NVC1.3_ONGOING;NVC1.3_VIOL;NVC1.3_NONVIOL;NVC1.3_FSELFDET;NVC1.3_REGCHANGE;NVC1.3_SECESSION;NVC1.3_CAMPAIGN.1;NVC1.3_cow
158;El Salvador;1944;1945;anti Aguirre y Salinas;0;0;1;0;0;1;0;1;0;1;92
159;El Salvador;1944;1944;Strike of Fallen Arms;1;0;0;0;0;1;0;1;0;1;92
160;El Salvador;1960;1960;Anti-Lemus campaign;1;0;0;0;0;1;0;1;0;1;92
161;El Salvador;1977;1980;El Salvador anti-junta;0;0;1;0;0;1;0;1;0;1;92
162;El Salvador;1979;1991;Farabundo Marti National Liberation Front (FMLN);0;1;0;0;1;0;0;1;0;1;92
163;Eritrea;1945;1952;Shifta insurgency;0;0;1;0;1;0;1;0;0;1;531
164;Estonia;1945;1953;Metsavennad (Forest Brothers, Estonian Anti-Occupation Campaign);0;0;1;0;1;0;1;0;0;1;366
165;Estonia;1987;1991;Singing Revolution;1;0;0;0;0;1;0;1;0;1;366
166;Ethiopia;1973;2018;Oromiya Self Determination;0;1;0;0;1;0;1;0;0;1;530
167;Ethiopia;1974;1991;Eritrean-led rebels;1;0;0;0;1;0;1;0;0;1;530
168;Ethiopia;1976;1980;Somali rebels (Ogaden);0;0;1;0;1;0;1;0;0;1;530
169;Ethiopia;1982;1991;Tigrean Liberation Front;1;0;0;0;1;0;0;0;1;1;530
170;Ethiopia;1984;2018;Ogaden Self Determination;0;0;1;1;1;0;1;0;0;1;530
171;Fiji;1987;1987;Indo-Fijian Anti-Coup Campaign;0;0;1;0;0;1;0;1;0;1;950
172;Fiji;1987;1987;Anti-Coalition Government Campaign;1;0;0;0;1;0;0;1;0;1;950
173;Fiji;2000;2000;Anti-Chaudhry Campaign;1;0;0;0;0;1;0;1;0;1;950
174;Finland;1918;1918;communist rebels;0;0;1;0;1;0;0;1;0;1;375
175;France;1940;1944;French resistance;0;0;0;0;1;0;1;0;0;1;220
176;France;1960;1962;French Nationalists/SAO;0;0;1;0;1;0;0;0;0;1;220
177;France;2018;2019;Yellow Vests;0;0;1;1;0;1;0;1;0;1;220
178;Georgia;1991;1992;Southern Ossetian Separatist Campaign;0;0;1;0;1;0;0;0;1;1;372
179;Georgia;1992;1994;Georgia-Abkhazia War;0;0;1;0;1;0;0;0;1;1;372
180;Georgia;2008;2008;Third South Ossetian Campaign;1;0;0;0;1;0;0;0;1;1;372
181;Georgia;2003;2003;Rose Revolution;1;0;0;0;0;1;0;1;0;1;372
182;Georgia;2007;2007;2007 Anti-Saakashvili Campaign;0;1;0;0;0;1;0;1;0;1;372
183;Georgia;2009;2009;2009 Anti-Saakashvili Campaign;0;0;1;0;0;1;0;1;0;1;372
184;Georgia;2019;2019;2019 Georgian Protests;0;1;0;0;0;1;0;1;0;1;372
185;Germany;1923;1924;Ruhrkampf resistance;1;0;0;0;0;1;1;0;0;1;255
186;Ghana;1955;1957;Convention People's Party movement;1;0;0;0;0;1;1;0;0;1;452
187;Ghana;2000;2000;anti-Rawlings campaign;1;0;0;0;0;1;0;1;0;1;452
188;Greece;1965;1966;Greece premier protest;0;0;1;0;0;1;0;1;0;1;350
189;Greece;1973;1974;Greek anti-military;1;0;0;0;0;1;0;1;0;1;350
190;Greece;1943;1944;Greek resistance;0;0;1;0;1;0;1;0;0;1;350
191;Greece;1946;1949;Greek Civil War;0;0;1;0;1;0;1;0;0;1;350
192;Guatemala;1919;1920;anti-Estrada Cabrera;1;0;0;0;0;1;0;1;0;1;90
193;Guatemala;1944;1944;October Revolutionaries;1;0;0;0;0;1;0;1;0;1;90
194;Guatemala;1954;1954;Conservative movement;1;0;0;0;1;0;0;1;0;1;90
195;Guatemala;1962;1962;Anti-Ydigoras;0;0;1;0;0;1;0;1;0;1;90
196;Guatemala;1966;1996;Marxist rebels (URNG);0;1;0;0;1;0;0;1;0;1;90
197;Guatemala;1993;1993;Anti-Serrano;1;0;0;0;0;1;0;1;0;1;90
198;Guatemala;2015;2015;Guatemala Uprising;1;0;0;0;0;1;0;1;0;1;90
199;Guatemala;2017;2019;Anti-Morales Protests;0;0;1;1;0;1;0;1;0;1;90
200;Guinea;2000;2001;RDFG;0;0;1;0;1;0;0;1;0;1;438
201;Guinea;2007;2010;pro-democracy movement;0;0;1;0;0;1;0;1;0;1;438
202;Guinea-Bissau;1963;1974;PAIGC;1;0;0;0;1;0;1;0;0;1;404
