NVC2.1_location,NVC2.1_id,NVC2.1_loc_cow,NVC2.1_start_year,NVC2.1_end_year,NVC2.1_camp_name,NVC2.1_prim_meth,NVC2.1_total_part,NVC2.1_progress,NVC2.1_success,NVC2.1_failure,NVC2.1_campaign,NVC2.1_camp_goals
Thailand,354,800,2004,2013,Patani insurgency,0,500,3,0,0,1,3
India,355,750,1948,1952,Telangana People's Movement,0,NA,5,0,1,1,0
Syria,356,652,2013,2013,Islamic State,0,17000,0,0,0,1,0
Somalia,357,520,1991,2000,Somali Civil War,0,NA,5,0,1,1,0
Central African Republic,360,482,2003,2013,Anti-Bozize/Seleka,0,NA,4,1,0,1,0
Central African Republic,361,482,2013,2013,Anti-balaka,0,50000,0,0,0,1,0
Argentina,362,160,1955,1955,Revolucion Libertadora,0,4000,4,1,0,1,0
Chad,363,483,1998,2003,MDJT,0,800,5,0,1,1,0
Laos,364,812,1946,1949,Laotian Independence Movement,0,401,4,1,0,1,5
Laos,366,812,1950,1957,First Pathet Lao ,0,8301,5,0,1,1,0
Comoros,367,581,1997,2000,Anjouan Separatist Movement,1,135021,5,0,1,1,3
Princely State of Travencore,368,750,1946,1946,Punnapra-Vayalar Uprising,0,50000,5,0,1,1,0
Bosnia-Herzegovina,369,346,1993,1995,Republic of Western Bosnia,0,4320,5,0,1,1,3
Cambodia (Kampuchea),371,811,1946,1954,Cambodian Independence Movement,0,4000,4,1,0,1,5
Pakistan,373,770,1962,1969,Second Balochistan Separatist Movement,0,NA,5,0,1,1,3
India,374,750,1989,2013,Tripuri nationalists,0,NA,0,0,0,1,3
Pakistan,375,770,2004,2013,Fourth Balochistan Separatist Movement,0,700,0,0,0,1,3
Estonia,376,366,1945,1953,"Metsavennad (Forest Brothers, Estonian Anti-Occupation Campaign)",0,10000,5,0,1,1,5
Iran,378,630,1945,1946,KDPI (first separatist movement),1,1000,5,0,1,1,3
India,379,750,1979,2013,Manipur Insurgency,0,100,0,0,0,1,3
Latvia,380,367,1945,1950,"Meza Brali (Forest Brothers, Latvian anti-occupation campaign)",0,15000,5,0,1,1,5
Lithuania,381,368,1945,1956,"Mikso Broliai (Forest Brothers, Lithuanian Anti-Occupation Campaign)",0,30000,5,0,1,1,5
Ethiopia,382,530,1992,2012,"
Peoples’ Alliance for Freedom and Democracy",0,NA,5,0,1,1,3
Brunei,383,835,1962,1962,Brunei Revolt,0,4000,5,0,1,1,5
Egypt,384,651,1992,1999,al-Gama'a al-Islamiyya,0,5000,5,0,1,1,0
Iran,385,630,2005,2013,PJAK,0,1500,0,0,0,1,3
Senegal,386,433,1982,2013,Casamance Conflict,0,201,0,0,0,1,3
Venezuela,387,101,1992,1992,Military Forces of Hugo Chavez,0,1400,5,0,1,1,0
Iraq,388,645,1989,1996,SCIRI,0,NA,5,0,1,1,0
Yemen (North Yemen),389,678,1979,1982,NDF,0,NA,5,0,1,1,0
Angola,390,540,1991,2013,Cabinda Conflict ,0,900,0,0,0,1,3
Croatia,391,344,1991,1995,Serbian Republic of Krajina,0,16000,5,0,1,1,3
Georgia,392,372,1991,1992,First Southern Ossetian Separatist Campaign,0,2500,5,0,1,1,3
Sri Lanka,393,780,1987,1990,Second JVP Insurrection,0,NA,5,0,1,1,0
Lebanon,394,660,2006,2006,2006 Lebanon War,0,2000,5,0,1,1,5
Lebanon,395,660,1978,1978,Hundred Day War ,0,NA,4,1,0,1,5
Congo,396,484,1993,1997,"Anti-Lissouba Campaign (Cocoyes, Ninjas, Cobras)",0,NA,4,1,0,1,0
Congo,397,484,1997,2003,"Anti-Sassou-Nguessou Campaign (Cocoyes, Ninjas, Ntsiloulous)",0,NA,5,0,1,1,0
Uganda,398,500,1987,1992,UPA,0,200,5,0,1,1,0
Russia,399,365,1993,1993,Russian Parliamentary Forces,0,10000,5,0,1,1,0
Guinea-Bissau,400,404,1998,1999,"Military Junta for the Consolidation of Democracy, Peace and Justice",0,6000,4,1,0,1,0
Greece,401,350,1946,1949,Greek Civil War,1,369491,5,0,1,1,0
Sudan,402,625,2011,2013,South Kordofan and Blue Nile ,0,52000,0,0,0,1,0
Rwanda,403,517,1996,2001,Hutu Nationalist Insurgency,0,4000,5,0,1,1,0
Myanmar/Burma,405,775,1948,1962,Myanmar Regime Change Campaign,0,13400,5,0,1,1,0
Myanmar/Burma,406,775,1962,1988,Myanmar Regime Change Campaign,0,10000,5,0,1,1,0
Myanmar/Burma,407,775,1988,2013,Myanmar Regime Change Campaign,0,25020,3,0,0,1,0
Myanmar/Burma,408,775,1948,2013,Myanmar Territorial Secession Campaign,0,9501,3,0,0,1,3
Democratic Republic of Congo,409,490,1964,1965,CNL,0,NA,5,0,1,1,0
Democratic Republic of Congo,410,490,1998,2002,"Second Congo War (MLC, RCD)",0,80154,5,0,1,1,0
Yemen,412,679,1994,1994,Democratic Republic of Yemen Secessionist Movement,0,27500,5,0,1,1,3
Cameroon,413,471,1960,1964,Cameroon anti-Ahidjo government movement,0,3000,5,0,1,1,0
China,425,710,1946,1949,Chinese Communist Revolution,0,910000,4,1,0,1,0
Fiji,426,950,1987,1987,Anti-Coalition Government Campaign,0,2000,4,1,0,1,0
Uganda,427,500,1996,2013,ADF Insurgency,0,4000,0,0,0,1,0
Bolivia,432,145,1946,1946,Popular Revolutionary Movement (Bolivia),0,NA,4,1,0,1,0
Chad,433,483,2005,2010,Anti-Deby Rebellion (Chad),0,4000,5,0,1,1,0
Georgia,434,372,2008,2008,Third Southern Ossetian Separatist Campaign,0,73000,4,1,0,1,3
Macedonia,435,343,2001,2001,NLA Insurgency,0,7000,5,0,1,1,3
